GeneID	Symbol	Role
10010	TANK	Tumor Suppressor Gene
10018	BCL2L11	Tumor Suppressor Gene
10019	SH2B3	Tumor Suppressor Gene
1002	CDH4	Tumor Suppressor Gene
1003	CDH5	Tumor Suppressor Gene
10048	RANBP9	Tumor Suppressor Gene
10077	TSPAN32	Tumor Suppressor Gene
10078	TSSC4	Tumor Suppressor Gene
1009	CDH11	Tumor Suppressor Gene
1012	CDH13	Tumor Suppressor Gene
1015	CDH17	Tumor Suppressor Gene
10152	ABI2	Tumor Suppressor Gene
10154	PLXNC1	Tumor Suppressor Gene
1017	CDK2	Tumor Suppressor Gene
10180	RBM6	Tumor Suppressor Gene
10181	RBM5	Tumor Suppressor Gene
10206	TRIM13	Tumor Suppressor Gene
1021	CDK6	Tumor Suppressor Gene
10210	TOPORS	Tumor Suppressor Gene
10217	CTDSPL	Tumor Suppressor Gene
10253	SPRY2	Tumor Suppressor Gene
1026	CDKN1A	Tumor Suppressor Gene
1027	CDKN1B	Tumor Suppressor Gene
10273	STUB1	Tumor Suppressor Gene
10277	UBE4B	Tumor Suppressor Gene
1028	CDKN1C	Tumor Suppressor Gene
1029	CDKN2A	Tumor Suppressor Gene
1030	CDKN2B	Tumor Suppressor Gene
10301	DLEU1	Tumor Suppressor Gene
1031	CDKN2C	Tumor Suppressor Gene
10320	IKZF1	Tumor Suppressor Gene
10335	MRVI1	Tumor Suppressor Gene
1036	CDO1	Tumor Suppressor Gene
10370	CITED2	Tumor Suppressor Gene
10395	DLC1	Tumor Suppressor Gene
10397	NDRG1	Tumor Suppressor Gene
10399	GNB2L1	Tumor Suppressor Gene
104	ADARB1	Tumor Suppressor Gene
10409	BASP1	Tumor Suppressor Gene
10413	YAP1	Tumor Suppressor Gene
10424	PGRMC2	Tumor Suppressor Gene
10432	RBM14	Tumor Suppressor Gene
1045	CDX2	Tumor Suppressor Gene
10472	ZBTB18	Tumor Suppressor Gene
10481	HOXB13	Tumor Suppressor Gene
1050	CEBPA	Tumor Suppressor Gene
10514	MYBBP1A	Tumor Suppressor Gene
1052	CEBPD	Tumor Suppressor Gene
10524	KAT5	Tumor Suppressor Gene
10550	ARL6IP5	Tumor Suppressor Gene
10553	HTATIP2	Tumor Suppressor Gene
10562	OLFM4	Tumor Suppressor Gene
10612	TRIM3	Tumor Suppressor Gene
10628	TXNIP	Tumor Suppressor Gene
10633	RASL10A	Tumor Suppressor Gene
10637	LEFTY1	Tumor Suppressor Gene
10641	NPRL2	Tumor Suppressor Gene
10653	SPINT2	Tumor Suppressor Gene
10664	CTCF	Tumor Suppressor Gene
10768	AHCYL1	Tumor Suppressor Gene
10769	PLK2	Tumor Suppressor Gene
10771	ZMYND11	Tumor Suppressor Gene
10788	IQGAP2	Tumor Suppressor Gene
1080	CFTR	Tumor Suppressor Gene
10817	FRS3	Tumor Suppressor Gene
10904	BLCAP	Tumor Suppressor Gene
10912	GADD45G	Tumor Suppressor Gene
10950	BTG3	Tumor Suppressor Gene
11009	IL24	Tumor Suppressor Gene
11010	GLIPR1	Tumor Suppressor Gene
1105	CHD1	Tumor Suppressor Gene
11068	CYB561D2	Tumor Suppressor Gene
11074	TRIM31	Tumor Suppressor Gene
11083	DIDO1	Tumor Suppressor Gene
11095	ADAMTS8	Tumor Suppressor Gene
11107	PRDM5	Tumor Suppressor Gene
11108	PRDM4	Tumor Suppressor Gene
1111	CHEK1	Tumor Suppressor Gene
11122	PTPRT	Tumor Suppressor Gene
11145	PLA2G16	Tumor Suppressor Gene
11178	LZTS1	Tumor Suppressor Gene
11184	MAP4K1	Tumor Suppressor Gene
11186	RASSF1	Tumor Suppressor Gene
11191	PTENP1	Tumor Suppressor Gene
11197	WIF1	Tumor Suppressor Gene
11200	CHEK2	Tumor Suppressor Gene
11219	TREX2	Tumor Suppressor Gene
11228	RASSF8	Tumor Suppressor Gene
112399	EGLN3	Tumor Suppressor Gene
112464	PRKCDBP	Tumor Suppressor Gene
11281	POU6F2	Tumor Suppressor Gene
11315	PARK7	Tumor Suppressor Gene
11334	TUSC2	Tumor Suppressor Gene
11337	GABARAP	Tumor Suppressor Gene
1147	CHUK	Tumor Suppressor Gene
114757	CYGB	Tumor Suppressor Gene
114826	SMYD4	Tumor Suppressor Gene
114907	FBXO32	Tumor Suppressor Gene
115426	UHRF2	Tumor Suppressor Gene
115761	ARL11	Tumor Suppressor Gene
116071	BATF2	Tumor Suppressor Gene
116135	LRRC3B	Tumor Suppressor Gene
116173	CMTM5	Tumor Suppressor Gene
117153	MIA2	Tumor Suppressor Gene
117581	TWIST2	Tumor Suppressor Gene
1191	CLU	Tumor Suppressor Gene
121227	LRIG3	Tumor Suppressor Gene
122953	JDP2	Tumor Suppressor Gene
123879	DCUN1D3	Tumor Suppressor Gene
123920	CMTM3	Tumor Suppressor Gene
1264	CNN1	Tumor Suppressor Gene
126520	PLK5	Tumor Suppressor Gene
127700	OSCP1	Tumor Suppressor Gene
130399	ACVR1C	Tumor Suppressor Gene
1316	KLF6	Tumor Suppressor Gene
1326	MAP3K8	Tumor Suppressor Gene
134111	UBE2QL1	Tumor Suppressor Gene
135138	PACRG	Tumor Suppressor Gene
137075	CLDN23	Tumor Suppressor Gene
137970	UNC5D	Tumor Suppressor Gene
1387	CREBBP	Tumor Suppressor Gene
1390	CREM	Tumor Suppressor Gene
139285	AMER1	Tumor Suppressor Gene
140628	GATA5	Tumor Suppressor Gene
140690	CTCFL	Tumor Suppressor Gene
141	ADPRH	Tumor Suppressor Gene
142	PARP1	Tumor Suppressor Gene
1437	CSF2	Tumor Suppressor Gene
144165	PRICKLE1	Tumor Suppressor Gene
1452	CSNK1A1	Tumor Suppressor Gene
146691	TOM1L2	Tumor Suppressor Gene
1473	CST5	Tumor Suppressor Gene
1474	CST6	Tumor Suppressor Gene
148252	DIRAS1	Tumor Suppressor Gene
